Field=#~Integer~#~50|Field=ApprovedBy~String~ApprovedBy~222|Field=Author~String~Author~154|Field=CheckedBy~String~CheckedBy~206|Field=Cod. Fab~String~Cod. Fab~311|Field=Comment~String~Comment~330|Field=Current~String~Current~161|Field=Datasheet~String~Datasheet~936|Field=Date~String~Date~121|Field=Description~String~Description~224|Field=Designator~String~Designator~158|Field=DrawnBy~String~DrawnBy~77|Field=Engineer~String~Engineer~77|Field=Fabricante~String~Fabricante~143|Field=Footprint~String~Footprint~158|Field=MAS_Approved_By~String~MAS_Approved_By~168|Field=MAS_Approved_Date~String~MAS_Approved_Date~186|Field=MAS_Checked_By~String~MAS_Checked_By~161|Field=MAS_Checked_Date~String~MAS_Checked_Date~178|Field=MAS_Client~String~MAS_Client~116|Field=MAS_Drawn_By~String~MAS_Drawn_By~146|Field=MAS_Drawn_Date~String~MAS_Drawn_Date~163|Field=MAS_Order_Number~String~MAS_Order_Number~183|Field=MAS_Product_Code~String~MAS_Product_Code~176|Field=MAS_Project~String~MAS_Project~124|Field=MAS_Rev~String~MAS_Rev~98|Field=Material~String~Material~110|Field=ModifiedDate~String~ModifiedDate~135|Field=Oferta Detalle~String~Oferta Detalle~136|Field=Oferta Precio~String~Oferta Precio~129|Field=Package~String~Package~141|Field=Power~String~Power~79|Field=Project~String~Project~157|Field=ProjectName~String~ProjectName~259|Field=Quantity~Integer~Quantity~180|Field=Revision~String~Revision~174|Field=RevisionGUID~String~RevisionGUID~244|Field=SheetNumber~String~SheetNumber~244|Field=SheetTotal~String~SheetTotal~205|Field=Title~String~Title~118|Field=Tolerance~String~Tolerance~191|Field=Value~String~Value~137|Field=Voltage~String~Voltage~167|Field=Supplier 1~String~Supplier 1~199|Field=Supplier Part Number 1~String~Supplier Part Number 1~416|Field=Temperature~String~Temperature~628|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SHR_T.PrjPcb|ReportField=ProjectFullPath~\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|ReportField=Title~Bill of Materials For Project [SHR_T.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~9:54:35|ReportField=ReportDate~03/12/2019|ReportField=ReportDateTime~03/12/2019 9:54:35|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~45|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~03/12/2019|ReportField=CurrentTime~9:54:03|ReportField=Date~|ReportField=DocumentFullPathAndName~\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.SchDoc|ReportField=DocumentName~SHR_T.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=MAS_Approved_By~A. Isasi|ReportField=MAS_Approved_Date~03/12/2019|ReportField=MAS_Checked_By~S. López|ReportField=MAS_Checked_Date~03/12/2019|ReportField=MAS_Client~ORIBAY|ReportField=MAS_Drawn_By~Y. Aranbarri|ReportField=MAS_Drawn_Date~03/12/2019|ReportField=MAS_Order_Number~20190125|ReportField=MAS_Product_Code~SHR_T|ReportField=MAS_Project~TESLA|ReportField=MAS_Rev~v1.10|ReportField=ModifiedDate~03/12/2019|ReportField=Organization~Organization|ReportField=ProjectName~SHR_T.PrjPcb|ReportField=Revision~0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~SHR_T.PrjPcb|ReportField=DataSourceFullPath~\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||||AC0402DR-074K7L|Resistor||||AEC|R2, R9, R15, R17, R19|||Yageo|0402_RES|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||0402|1/16w|\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|5|0||1|1||0.5%|4K7|||{URL}{URL.TEXT}{URL.TIP}Supplier|
12||||AC0402DR-0733RL|Resistor||||AEC|R3, R5, R12, R16, R18|||Yageo|0402_RES|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||0402|1/16w|\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|5|0||1|1||0.5%|33|||{URL}{URL.TEXT}{URL.TIP}Supplier|
13||||AC0402FR-0710KL|Resistor||||AEC|R4|||Yageo|0402_RES|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||0402|1/16W|\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||1%|10K|||{URL}{URL.TEXT}{URL.TIP}Supplier|
14||||AC0402FR-0749K9L|Resistor||||AEC|R7|||Yageo|0402_RES|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||0402|1/16W|\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||1%|49.9K|||{URL}{URL.TEXT}{URL.TIP}Supplier|
15||||1-928918-1|Terminal macho||||Terminal macho para con 1-968700-1 de TE|T1, T2, T3|||TE||A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|3|0||1|1|||||Digikey|{URL}{URL.TEXT}A126099CT-ND{URL.TIP}Supplier|
16||||NCV7428MW3R2G|NCV7428MW3R2G|70mA|https://www.onsemi.com/pub/Collateral/NCV7428-D.PDF||AEC-Q100 Lin transceiver and voltage regulator|U1|||OnSemiconductor|DFN 8 (3x3)|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||DFN-8 (3x3)||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1|||||Mouser|{URL}{URL.TEXT}863-NCV7428MW3R2G{URL.TIP}Supplier|
17||||ISL76683AROZ-T7|Sensor de luminosidad||https://www.renesas.com/eu/en/www/doc/datasheet/isl76683.pdf||AEC-Q100|U2|||Renesas|ODFN 6 Ld (2.1x2mm)|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||6 Ld ODFN (2.1x2)||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||3V3|Mouser|{URL}{URL.TEXT}968-ISL76683AROZ-T7{URL.TIP}Supplier|-40 to 105
18||||FS32K116LAT0MFMT|Micro||||AEC - Micro ARM 32qfn, Flash 128K|U3|||NXP|HVQFN-32 (5x5mm)|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||32-HVQFN||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||2.7 - 5.5V|Mouser|{URL}{URL.TEXT}771-FS32K116LAT0MFMT{URL.TIP}Supplier|-40 - 125C
19||||SHT31-DIS-B|SHT31-DIS-B||https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/0_Datasheets/Humidity/Sensirion_Humidity_Sensors_SHT3x_Datasheet_digital.pdf||Sensor de humedad|U6|||Sensirion|DFN8 (SHT31-DIS-B)|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||DFN8||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1|||||Mouser|{URL}{URL.TEXT}403-SHT31-DIS-B{URL.TIP}Supplier|
20||||CSTCE8M00G55A-R0|XTAL||||Crystal Oscillator|Y1|||MURATA|XTAL_CSTCE8M00G55A-R0|A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||smd||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1|||||Farnell|{URL}{URL.TEXT}2443269{URL.TIP}Supplier|-40ºC -  125ºC
21|||||Azul, 0.15mm2, 60mm||||Cable Azul, sección 0.15mm2, longitud 60mm|z_Cable1|||||A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|
22|||||Rojo, 0.15mm2, 60mm||||Cable Rojo, sección 0.15mm2, longitud 60mm|z_Cable2|||||A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|
23|||||Negro, 0.15mm2, 60mm||||Cable Negro, sección 0.15mm2, longitud 60mm|z_Cable3|||||A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019|||||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|
24||||||||||z_PCB1|||||A. Isasi|03/12/2019|S. López|03/12/2019|ORIBAY|Y. Aranbarri|03/12/2019|20190125|SHR_T|TESLA|v1.10||03/12/2019||0|||\\dsmaser\Dpto. Tecnico\Dpto. Transporte\PROYECTOS\ORIBAY\Sensor humedad y Luminosidad_TESLA\2-Hardware\2.1 Esquemas PCB\SHR_T\SHR_T.PrjPcb|SHR_T.PrjPcb|1|0||1|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|
